Any,Mes,Desc_Mes,Precipitacions
1786,1,Gener,32.8
1786,2,Febrer,28.4
1786,3,Març,84.4
1786,4,Abril,42.3
1786,5,Maig,8.5
1786,6,Juny,38.0
1786,7,Juliol,6.8
1786,8,Agost,52.1
1786,9,Setembre,62.0
1786,10,Octubre,57.0
1786,11,Novembre,195.8
1786,12,Desembre,114.1
1787,1,Gener,136.4
1787,2,Febrer,27.4
1787,3,Març,44.6
1787,4,Abril,76.9
1787,5,Maig,0.0
1787,6,Juny,29.8
1787,7,Juliol,34.7
1787,8,Agost,14.9
1787,9,Setembre,205.8
1787,10,Octubre,12.4
1787,11,Novembre,42.2
1787,12,Desembre,0.0
1788,1,Gener,9.9
1788,2,Febrer,14.9
1788,3,Març,32.2
1788,4,Abril,12.4
1788,5,Maig,7.5
1788,6,Juny,146.3
1788,7,Juliol,59.4
1788,8,Agost,29.8
1788,9,Setembre,123.9
1788,10,Octubre,163.6
1788,11,Novembre,106.6
1788,12,Desembre,22.3
1789,1,Gener,12.4
1789,2,Febrer,12.4
1789,3,Març,23.6
1789,4,Abril,9.9
1789,5,Maig,32.2
1789,6,Juny,9.9
1789,7,Juliol,6.3
1789,8,Agost,69.4
1789,9,Setembre,18.7
1789,10,Octubre,52.1
1789,11,Novembre,18.7
1789,12,Desembre,76.9
1790,1,Gener,44.6
1790,2,Febrer,1.2
1790,3,Març,188.5
1790,4,Abril,74.4
1790,5,Maig,44.7
1790,6,Juny,39.7
1790,7,Juliol,65.7
1790,8,Agost,32.3
1790,9,Setembre,71.9
1790,10,Octubre,205.8
1790,11,Novembre,72.0
1790,12,Desembre,14.9
1791,1,Gener,9.9
1791,2,Febrer,34.7
1791,3,Març,9.9
1791,4,Abril,31.1
1791,5,Maig,148.8
1791,6,Juny,2.5
1791,7,Juliol,1.2
1791,8,Agost,1.2
1791,9,Setembre,119.0
1791,10,Octubre,89.2
1791,11,Novembre,109.1
1791,12,Desembre,34.7
1792,1,Gener,8.7
1792,2,Febrer,9.9
1792,3,Març,27.4
1792,4,Abril,6.3
1792,5,Maig,19.9
1792,6,Juny,29.8
1792,7,Juliol,2.5
1792,8,Agost,1.2
1792,9,Setembre,86.8
1792,10,Octubre,47.1
1792,11,Novembre,44.7
1792,12,Desembre,7.5
1793,1,Gener,1.2
1793,2,Febrer,54.6
1793,3,Març,67.0
1793,4,Abril,94.2
1793,5,Maig,54.6
1793,6,Juny,7.5
1793,7,Juliol,63.2
1793,8,Agost,4.9
1793,9,Setembre,60.8
1793,10,Octubre,63.3
1793,11,Novembre,218.1
1793,12,Desembre,47.1
1794,1,Gener,37.3
1794,2,Febrer,9.9
1794,3,Març,33.5
1794,4,Abril,14.9
1794,5,Maig,148.8
1794,6,Juny,109.1
1794,7,Juliol,0.0
1794,8,Agost,34.7
1794,9,Setembre,49.7
1794,10,Octubre,84.3
1794,11,Novembre,24.8
1794,12,Desembre,106.6
1795,1,Gener,108.0
1795,2,Febrer,17.4
1795,3,Març,19.9
1795,4,Abril,32.3
1795,5,Maig,0.0
1795,6,Juny,82.0
1795,7,Juliol,62.1
1795,8,Agost,2.5
1795,9,Setembre,90.4
1795,10,Octubre,32.3
1795,11,Novembre,76.9
1795,12,Desembre,32.3
1796,1,Gener,43.5
1796,2,Febrer,47.1
1796,3,Març,59.4
1796,4,Abril,111.6
1796,5,Maig,64.5
1796,6,Juny,14.9
1796,7,Juliol,0.0
1796,8,Agost,94.2
1796,9,Setembre,42.2
1796,10,Octubre,14.9
1796,11,Novembre,69.4
1796,12,Desembre,62.0
1797,1,Gener,39.7
1797,2,Febrer,4.9
1797,3,Març,143.8
1797,4,Abril,49.7
1797,5,Maig,106.6
1797,6,Juny,57.0
1797,7,Juliol,0.0
1797,8,Agost,0.0
1797,9,Setembre,52.1
1797,10,Octubre,54.6
1797,11,Novembre,34.7
1797,12,Desembre,12.4
1798,1,Gener,0.0
1798,2,Febrer,9.9
1798,3,Març,12.4
1798,4,Abril,46.5
1798,5,Maig,39.4
1798,6,Juny,60.2
1798,7,Juliol,35.2
1798,8,Agost,6.4
1798,9,Setembre,84.2
1798,10,Octubre,87.6
1798,11,Novembre,40.3
1798,12,Desembre,74.1
1799,1,Gener,14.6
1799,2,Febrer,0.3
1799,3,Març,0.0
1799,4,Abril,81.3
1799,5,Maig,50.0
1799,6,Juny,35.6
1799,7,Juliol,32.2
1799,8,Agost,9.9
1799,9,Setembre,57.0
1799,10,Octubre,39.7
1799,11,Novembre,44.6
1799,12,Desembre,141.3
1800,1,Gener,52.1
1800,2,Febrer,59.4
1800,3,Març,39.7
1800,4,Abril,29.8
1800,5,Maig,42.2
1800,6,Juny,44.6
1800,7,Juliol,0.0
1800,8,Agost,0.0
1800,9,Setembre,71.9
1800,10,Octubre,121.4
1800,11,Novembre,34.7
1800,12,Desembre,106.6
1801,1,Gener,7.5
1801,2,Febrer,29.8
1801,3,Març,79.3
1801,4,Abril,101.6
1801,5,Maig,29.8
1801,6,Juny,34.7
1801,7,Juliol,2.5
1801,8,Agost,2.5
1801,9,Setembre,138.9
1801,10,Octubre,163.6
1801,11,Novembre,126.5
1801,12,Desembre,19.9
1802,1,Gener,94.2
1802,2,Febrer,27.4
1802,3,Març,27.4
1802,4,Abril,32.2
1802,5,Maig,27.4
1802,6,Juny,1.2
1802,7,Juliol,24.8
1802,8,Agost,2.5
1802,9,Setembre,4.9
1802,10,Octubre,146.3
1802,11,Novembre,106.6
1802,12,Desembre,29.8
1803,1,Gener,74.4
1803,2,Febrer,4.9
1803,3,Març,69.4
1803,4,Abril,76.9
1803,5,Maig,34.7
1803,6,Juny,2.5
1803,7,Juliol,4.9
1803,8,Agost,71.9
1803,9,Setembre,111.6
1803,10,Octubre,52.1
1803,11,Novembre,42.2
1803,12,Desembre,12.4
1804,1,Gener,25.9
1804,2,Febrer,12.4
1804,3,Març,47.1
1804,4,Abril,66.9
1804,5,Maig,29.8
1804,6,Juny,1.2
1804,7,Juliol,62.0
1804,8,Agost,2.5
1804,9,Setembre,7.5
1804,10,Octubre,151.6
1804,11,Novembre,119.0
1804,12,Desembre,114.1
1805,1,Gener,49.7
1805,2,Febrer,49.7
1805,3,Març,29.8
1805,4,Abril,9.9
1805,5,Maig,54.6
1805,6,Juny,37.3
1805,7,Juliol,4.9
1805,8,Agost,69.4
1805,9,Setembre,114.1
1805,10,Octubre,4.9
1805,11,Novembre,141.3
1805,12,Desembre,32.2
1806,1,Gener,69.4
1806,2,Febrer,34.7
1806,3,Març,39.7
1806,4,Abril,126.5
1806,5,Maig,22.3
1806,6,Juny,27.4
1806,7,Juliol,19.9
1806,8,Agost,12.4
1806,9,Setembre,59.4
1806,10,Octubre,44.6
1806,11,Novembre,84.3
1806,12,Desembre,1.2
1807,1,Gener,104.2
1807,2,Febrer,0.8
1807,3,Març,133.8
1807,4,Abril,29.8
1807,5,Maig,2.5
1807,6,Juny,1.2
1807,7,Juliol,27.4
1807,8,Agost,27.4
1807,9,Setembre,12.4
1807,10,Octubre,79.3
1807,11,Novembre,79.3
1807,12,Desembre,7.5
1808,1,Gener,4.9
1808,2,Febrer,19.9
1808,3,Març,123.9
1808,4,Abril,22.3
1808,5,Maig,86.8
