Territori,Tipus de territori,Ús,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
la Trinitat Vella,Barri,Equipament,5.80,5.80,5.70,5.70,5.71,5.71,5.71,5.71,5.69,5.81,5.81,5.76,-
Baró de Viver,Barri,Residencial,17,17,17,17,17.02,17.02,17.01,17.01,17.11,17.11,17.11,17.11,-
Baró de Viver,Barri,Industrial i infraestructures,0.90,0.90,0.90,0.90,0.86,0.86,0.86,0.86,0.55,0.55,0.55,0.55,-
Baró de Viver,Barri,Equipament,20.70,20.70,20.70,20.70,20.69,20.69,20.70,20.70,20.61,20.61,20.61,20.61,-
el Bon Pastor,Barri,Residencial,8.50,8.50,8.60,8.50,8.55,9.50,9.50,9.50,9.53,9.55,9.53,9.53,-
el Bon Pastor,Barri,Industrial i infraestructures,52.60,52.60,52.60,52.60,52.62,50.97,50.96,50.90,48.18,48.14,48.18,48.18,-
el Bon Pastor,Barri,Equipament,4.20,4.20,4.20,4.20,4.23,4.39,4.39,4.40,4.44,4.45,4.44,4.44,-
Sant Andreu (Barri),-,Residencial,40.50,40.80,40.80,41.70,41.71,41.71,41.71,41.62,41.02,40.96,40.96,40.96,-
Sant Andreu (Barri),-,Industrial i infraestructures,3.20,3.20,3.20,3.20,3.18,3.18,3.08,3.08,2.14,2.14,2.14,2.14,-
Sant Andreu (Barri),-,Equipament,10.70,10.50,10.50,10.30,10.18,10.18,10.18,10.18,10.03,10.02,10.02,10.02,-
la Sagrera,Barri,Residencial,40.20,40.60,40.70,40.60,40.57,40.67,40.67,40.66,38.64,38.64,38.64,38.64,-
la Sagrera,Barri,Industrial i infraestructures,3.40,3.40,3.40,3.40,3.36,3.36,3.36,3.36,3.31,3.31,3.31,3.31,-
la Sagrera,Barri,Equipament,8.40,8.40,8.40,8.40,8.38,8.38,8.38,8.37,9.72,9.72,9.72,9.72,-
el Congrés i els Indians,Barri,Residencial,49.60,49.60,49.60,47.10,47.07,47.07,47.29,47.04,46.77,46.77,46.77,46.77,-
el Congrés i els Indians,Barri,Industrial i infraestructures,-,-,-,-,-,-,-,-,-,-,-,-,-
el Congrés i els Indians,Barri,Equipament,7.90,7.90,7.90,7.80,7.82,7.87,7.85,7.80,7.76,7.76,7.76,7.76,-
Navas,Barri,Residencial,53.50,53.50,53.20,53.10,53.15,53.15,53.15,53.15,52.95,52.96,52.96,52.96,-
Navas,Barri,Industrial i infraestructures,-,-,-,-,-,-,-,-,-,-,-,-,-
Navas,Barri,Equipament,5.60,5.60,5.80,5.80,5.75,5.75,5.75,6.01,6.03,6.03,6.03,6.03,-
Sant Martí,Districte,Residencial,25.45,25.54,25.53,25.46,25.68,26.41,26.43,26.56,27.83,27.80,27.79,27.79,28.11
Sant Martí,Districte,Industrial i infraestructures,14.45,14.41,14.42,14.44,14.00,13.96,13.90,13.87,13.10,13.05,13.05,13.05,11.32
Sant Martí,Districte,Equipament,8.68,8.71,8.71,8.66,8.75,8.59,8.60,8.58,8.38,8.40,8.41,8.38,8.67
el Camp de l'Arpa del Clot,Barri,Residencial,57.90,57.90,57.90,57.90,57.93,57.93,57.93,57.93,57.92,57.92,57.92,57.92,-
el Camp de l'Arpa del Clot,Barri,Industrial i infraestructures,-,-,-,-,-,-,-,-,-,-,-,-,-
el Camp de l'Arpa del Clot,Barri,Equipament,4.30,4.30,4.30,4.30,4.27,4.27,4.27,4.27,4.26,4.26,4.26,4.26,-
el Clot,Barri,Residencial,33.60,33.90,33.90,33.90,33.93,33.93,33.93,33.93,33.64,33.64,33.64,33.64,-
el Clot,Barri,Industrial i infraestructures,-,-,-,-,-,-,-,-,0.27,0.27,0.27,0.27,-
el Clot,Barri,Equipament,8.50,8.50,8.50,8.50,8.53,8.51,8.51,8.51,8.54,8.54,8.54,8.54,-
el Parc i la Llacuna del Poblenou,Barri,Residencial,17.50,17.60,17.60,17.60,17.64,17.72,17.87,17.92,19.80,19.90,19.90,19.90,-
el Parc i la Llacuna del Poblenou,Barri,Industrial i infraestructures,26.90,26.50,26.70,26.60,26.60,26.72,26.36,26.36,24.87,24.57,24.57,24.57,-
el Parc i la Llacuna del Poblenou,Barri,Equipament,7.20,7.40,7.30,7.30,7.29,7.19,7.28,7.23,7.35,7.37,7.37,7.37,-
la Vila Olímpica del Poblenou,Barri,Residencial,25.60,25.60,25.70,25.60,25.64,25.64,25.64,25.65,26.33,26.33,26.32,26.32,-
la Vila Olímpica del Poblenou,Barri,Industrial i infraestructures,15.80,15.80,15.90,15.80,15.85,15.85,15.85,15.80,16.52,16.52,16.51,16.51,-
la Vila Olímpica del Poblenou,Barri,Equipament,7.50,7.50,7.50,7.50,7.48,7.74,7.74,7.74,7.84,7.84,7.84,7.85,-
el Poblenou,Barri,Residencial,27.60,27.60,27.60,27.60,27.58,27.54,27.56,27.56,28.72,28.72,28.72,28.72,-
el Poblenou,Barri,Industrial i infraestructures,16.60,16.60,16.60,16.60,16.59,16.60,16.58,16.58,15.35,15.35,15.35,15.36,-
el Poblenou,Barri,Equipament,10.60,10.60,10.50,10.50,10.51,10.46,10.40,10.40,10.28,10.28,10.28,10.28,-
Diagonal Mar i el Front Marítim del Poblenou,Barri,Residencial,18.60,18.60,18.60,18.60,18.62,18.62,18.61,18.61,19.93,19.93,19.93,19.93,-
Diagonal Mar i el Front Marítim del Poblenou,Barri,Industrial i infraestructures,9.60,9.60,9.60,9.60,9.56,9.56,9.56,9.56,8.81,8.81,8.81,8.81,-
Diagonal Mar i el Front Marítim del Poblenou,Barri,Equipament,8.10,8.30,8.30,8.30,8.32,8.32,8.38,8.38,8.26,8.26,8.26,8.02,-
el Besòs i el Maresme,Barri,Residencial,20.60,20.70,20.70,20.70,20.11,20.10,20.10,20.40,23.70,23.71,23.58,23.58,-
el Besòs i el Maresme,Barri,Industrial i infraestructures,14.80,14.80,14.80,14.70,14.69,14.69,14.52,14.31,12.61,12.61,12.69,12.69,-
el Besòs i el Maresme,Barri,Equipament,12.80,12.80,12.80,13,13.02,13.02,13.10,13.15,11.04,11.04,11.16,11.16,-
Provençals del Poblenou,Barri,Residencial,11.80,12.20,12.20,12.20,12.20,12.20,12.20,12.44,14.46,14.10,14.10,14.10,-
Provençals del Poblenou,Barri,Industrial i infraestructures,28.90,28.90,28.80,28.80,28.84,28.84,28.84,28.84,26.65,26.49,26.50,26.49,-
Provençals del Poblenou,Barri,Equipament,7.70,7.70,7.90,7.90,7.85,7.85,7.85,7.61,8.28,8.44,8.44,8.44,-
Sant Martí de Provençals,Barri,Residencial,30.50,30.50,30.50,30.50,30.49,30.38,30.38,31.42,31.91,31.91,31.91,31.91,-
Sant Martí de Provençals,Barri,Industrial i infraestructures,-,-,-,-,-,-,-,-,-,-,-,-,-
Sant Martí de Provençals,Barri,Equipament,11.90,11.90,11.90,11.90,11.88,12.01,12.01,12.01,12.21,12.21,12.21,12.20,-
la Verneda i la Pau,Barri,Residencial,26.80,26.80,26.80,28.90,28.87,35.71,35.71,35.69,35.42,35.42,35.43,35.43,-
la Verneda i la Pau,Barri,Industrial i infraestructures,16.80,16.80,16.80,13.10,13.12,12.57,12.57,12.57,12.53,12.53,12.50,12.50,-
la Verneda i la Pau,Barri,Equipament,6.20,6.20,6.20,6.40,6.42,4.72,4.72,4.72,4.74,4.74,4.72,4.72,-
