ELEMENT,DISTRICTE,BARRI,CODI_BARRI,ANY_ALTA,MES_ALTA_NOM,RECOMPTE,POBLACIO_HOMES,POBLACIO_DONES,POBLACIO_TOTAL,SUPERFICIE_TERRITORI,SUPERFICIE_RESIDENCIAL,TEMPERATURA,PRECIPITACIONS
Lavabo públic,Ciutat Vella,la Barceloneta,3,2023,Desembre,3,7042,7232,14274,117.9,14.572,12.1,2.7
Lavabo públic,Ciutat Vella,la Barceloneta,3,2023,Juliol,10,7042,7232,14274,117.9,14.572,25.5,6.2
Lavabo públic,Ciutat Vella,la Barceloneta,3,2023,Juny,1,7042,7232,14274,117.9,14.572,23.4,39.8
Lavabo públic,Ciutat Vella,la Barceloneta,3,2023,Maig,1,7042,7232,14274,117.9,14.572,18.1,46.5
Lavabo públic,Ciutat Vella,la Barceloneta,3,2023,Novembre,3,7042,7232,14274,117.9,14.572,14.8,3.7
Lavabo públic,Ciutat Vella,la Barceloneta,3,2023,Octubre,3,7042,7232,14274,117.9,14.572,20.2,29.2
Lavabo públic,Ciutat Vella,la Barceloneta,3,2023,Setembre,4,7042,7232,14274,117.9,14.572,23.2,50.4
Lavabo públic,Ciutat Vella,la Barceloneta,3,2024,Desembre,1,7137,7389,14526,117.9,14.572,10.4,38.4
Lavabo públic,Ciutat Vella,la Barceloneta,3,2024,Gener,7,7137,7389,14526,117.9,14.572,11.1,26.8
Lavabo públic,Ciutat Vella,la Barceloneta,3,2024,Juliol,3,7137,7389,14526,117.9,14.572,25.8,33.4
Lavabo públic,Ciutat Vella,la Barceloneta,3,2024,Maig,1,7137,7389,14526,117.9,14.572,18.2,29.6
Lavabo públic,Ciutat Vella,la Barceloneta,3,2024,Març,1,7137,7389,14526,117.9,14.572,13.1,87.9
Lavabo públic,Eixample,Sant Antoni,10,2023,Gener,2,18225,20044,38269,80.4,41.31,9.2,8.7
Lavabo públic,Eixample,Sant Antoni,10,2023,Octubre,2,18225,20044,38269,80.4,41.31,20.2,29.2
Lavabo públic,Eixample,Sant Antoni,10,2024,Abril,1,18478,20220,38698,80.4,41.31,15.0,94.5
Lavabo públic,Eixample,Sant Antoni,10,2024,Març,2,18478,20220,38698,80.4,41.31,13.1,87.9
Lavabo públic,Eixample,Sant Antoni,10,2024,Octubre,1,18478,20220,38698,80.4,41.31,18.2,118.5
Lavabo públic,Eixample,el Fort Pienc,5,2023,Agost,1,16523,17880,34403,92.9,33.621,26.0,44.6
Lavabo públic,Eixample,el Fort Pienc,5,2023,Juny,2,16523,17880,34403,92.9,33.621,23.4,39.8
Lavabo públic,Eixample,el Fort Pienc,5,2024,Juliol,1,17483,18636,36119,92.9,33.621,25.8,33.4
Lavabo públic,Eixample,el Fort Pienc,5,2024,Setembre,1,17483,18636,36119,92.9,33.621,20.8,70.7
Lavabo públic,Eixample,l'Antiga Esquerra de l'Eixample,8,2023,Octubre,1,20110,22641,42751,122.8,66.901,20.2,29.2
Lavabo públic,Eixample,la Dreta de l'Eixample,7,2023,Abril,2,20610,23495,44105,212.0,113.865,16.1,36.0
Lavabo públic,Eixample,la Dreta de l'Eixample,7,2023,Agost,1,20610,23495,44105,212.0,113.865,26.0,44.6
Lavabo públic,Eixample,la Dreta de l'Eixample,7,2023,Juny,1,20610,23495,44105,212.0,113.865,23.4,39.8
Lavabo públic,Eixample,la Dreta de l'Eixample,7,2023,Novembre,1,20610,23495,44105,212.0,113.865,14.8,3.7
Lavabo públic,Eixample,la Dreta de l'Eixample,7,2023,Setembre,2,20610,23495,44105,212.0,113.865,23.2,50.4
Lavabo públic,Eixample,la Dreta de l'Eixample,7,2024,Juliol,1,20948,23939,44887,212.0,113.865,25.8,33.4
Lavabo públic,Eixample,la Dreta de l'Eixample,7,2024,Maig,1,20948,23939,44887,212.0,113.865,18.2,29.6
Lavabo públic,Eixample,la Nova Esquerra de l'Eixample,9,2024,Setembre,1,27192,31107,58299,134.1,65.173,20.8,70.7
Lavabo públic,Eixample,la Sagrada Família,6,2023,Abril,1,23697,28015,51712,104.2,50.975,16.1,36.0
Lavabo públic,Eixample,la Sagrada Família,6,2023,Juliol,1,23697,28015,51712,104.2,50.975,25.5,6.2
Lavabo públic,Eixample,la Sagrada Família,6,2023,Novembre,1,23697,28015,51712,104.2,50.975,14.8,3.7
Lavabo públic,Eixample,la Sagrada Família,6,2024,Desembre,1,24217,28608,52825,104.2,50.975,10.4,38.4
Lavabo públic,Eixample,la Sagrada Família,6,2024,Febrer,1,24217,28608,52825,104.2,50.975,13.4,27.8
Lavabo públic,Gràcia,Vallcarca i els Penitents,28,2023,Febrer,1,7625,8705,16330,125.1,48.214,10.3,40.7
Lavabo públic,Gràcia,Vallcarca i els Penitents,28,2023,Novembre,1,7625,8705,16330,125.1,48.214,14.8,3.7
Lavabo públic,Gràcia,Vallcarca i els Penitents,28,2024,Maig,1,7808,8870,16678,125.1,48.214,18.2,29.6
Lavabo públic,Gràcia,Vallcarca i els Penitents,28,2024,Setembre,1,7808,8870,16678,125.1,48.214,20.8,70.7
Lavabo públic,Gràcia,el Camp d'en Grassot i Gràcia Nova,32,2023,Agost,1,16231,19088,35319,65.1,38.559,26.0,44.6
Lavabo públic,Gràcia,el Coll,29,2024,Febrer,1,3690,4253,7943,35.3,12.426,13.4,27.8
Lavabo públic,Gràcia,el Coll,29,2024,Juny,3,3690,4253,7943,35.3,12.426,21.3,74.7
Lavabo públic,Gràcia,la Salut,30,2023,Setembre,1,6243,7248,13491,64.8,19.524,23.2,50.4
Lavabo públic,Gràcia,la Vila de Gràcia,31,2023,Abril,3,22852,27196,50048,132.1,84.016,16.1,36.0
Lavabo públic,Gràcia,la Vila de Gràcia,31,2023,Agost,12,22852,27196,50048,132.1,84.016,26.0,44.6
Lavabo públic,Gràcia,la Vila de Gràcia,31,2023,Febrer,2,22852,27196,50048,132.1,84.016,10.3,40.7
Lavabo públic,Gràcia,la Vila de Gràcia,31,2023,Setembre,1,22852,27196,50048,132.1,84.016,23.2,50.4
Lavabo públic,Gràcia,la Vila de Gràcia,31,2024,Agost,8,23309,27766,51075,132.1,84.016,26.9,17.6
Lavabo públic,Gràcia,la Vila de Gràcia,31,2024,Febrer,3,23309,27766,51075,132.1,84.016,13.4,27.8
Lavabo públic,Gràcia,la Vila de Gràcia,31,2024,Juliol,1,23309,27766,51075,132.1,84.016,25.8,33.4
Lavabo públic,Gràcia,la Vila de Gràcia,31,2024,Juny,1,23309,27766,51075,132.1,84.016,21.3,74.7
Lavabo públic,Gràcia,la Vila de Gràcia,31,2024,Maig,1,23309,27766,51075,132.1,84.016,18.2,29.6
Lavabo públic,Gràcia,la Vila de Gràcia,31,2024,Novembre,1,23309,27766,51075,132.1,84.016,14.8,54.3
Lavabo públic,Gràcia,la Vila de Gràcia,31,2024,Setembre,1,23309,27766,51075,132.1,84.016,20.8,70.7
Lavabo públic,Horta-Guinardó,Can Baró,34,2024,Juliol,1,4528,4997,9525,38.4,14.304,25.8,33.4
Lavabo públic,Horta-Guinardó,Horta,43,2023,Agost,2,13783,15612,29395,307.0,63.15,26.0,44.6
Lavabo públic,Horta-Guinardó,Horta,43,2024,Novembre,1,14702,16389,31091,307.0,63.15,14.8,54.3
Lavabo públic,Horta-Guinardó,Montbau,40,2023,Agost,1,2349,2825,5174,205.5,11.364,26.0,44.6
Lavabo públic,Horta-Guinardó,Sant Genís dels Agudells,39,2024,Febrer,1,3628,4138,7766,168.1,16.86,13.4,27.8
Lavabo públic,Horta-Guinardó,Sant Genís dels Agudells,39,2024,Maig,2,3628,4138,7766,168.1,16.86,18.2,29.6
Lavabo públic,Horta-Guinardó,el Baix Guinardó,33,2023,Agost,1,11813,13906,25719,56.2,23.694,26.0,44.6
Lavabo públic,Horta-Guinardó,el Baix Guinardó,33,2023,Octubre,1,11813,13906,25719,56.2,23.694,20.2,29.2
Lavabo públic,Horta-Guinardó,el Carmel,37,2023,Juliol,1,15454,17058,32512,94.0,39.442,25.5,6.2
Lavabo públic,Horta-Guinardó,el Carmel,37,2023,Octubre,1,15454,17058,32512,94.0,39.442,20.2,29.2
Lavabo públic,Horta-Guinardó,el Guinardó,35,2023,Març,1,17545,20030,37575,130.9,52.033,14.1,1.0
Lavabo públic,Horta-Guinardó,la Font d'en Fargues,36,2023,Juliol,3,4612,5097,9709,65.7,38.75,25.5,6.2
Lavabo públic,Horta-Guinardó,la Font d'en Fargues,36,2023,Juny,4,4612,5097,9709,65.7,38.75,23.4,39.8
Lavabo públic,Les Corts,Pedralbes,21,2023,Febrer,2,5645,6485,12130,268.5,81.731,10.3,40.7
Lavabo públic,Les Corts,Pedralbes,21,2023,Març,1,5645,6485,12130,268.5,81.731,14.1,1.0
Lavabo públic,Les Corts,la Maternitat i Sant Ramon,20,2023,Gener,2,11213,12846,24059,191.5,31.827,9.2,8.7
Lavabo públic,Les Corts,les Corts,19,2023,Abril,1,21369,24596,45965,141.0,64.719,16.1,36.0
Lavabo públic,Les Corts,les Corts,19,2024,Abril,1,21702,25038,46740,141.0,64.719,15.0,94.5
Lavabo públic,Les Corts,les Corts,19,2024,Juliol,1,21702,25038,46740,141.0,64.719,25.8,33.4
Lavabo públic,Les Corts,les Corts,19,2024,Octubre,2,21702,25038,46740,141.0,64.719,18.2,118.5
Lavabo públic,Nou Barris,Can Peguera,47,2023,Juny,1,1025,1145,2170,11.9,6.163,23.4,39.8
